FILEDATE,serialno,sporder,st,PUMA,OFFPoor,wt,Age,Mar,Sex,Education,Race,Hispanic,AGI,Tax_unit,HI_premium,Moop_other,SPM_ID,SPM_Poor,SPM_PovThreshold,SPM_EquivScale,SPM_GeoAdj,SPM_NumPer,SPM_NumKids,SPM_NumAdults,SPM_TenMortStatus,SPM_Resources,SPM_Totval,SPM_SNAPSub,SPM_CapHouseSub,SPM_SchLunch,SPM_EngVal,SPM_WICval,SPM_FedTax,SPM_FedTaxBC,SPM_EITC,SPM_FICA,SPM_StTax,SPM_CapWkCCXpns,SPM_WkXpns,SPM_ChildcareXpns,SPM_Premium,SPM_MedXpns,Medicare_PartB,SPM_wCohabit,SPM_wUI_LT15
20241203,151,1,48,4805304,FALSE,183,61,Married,2,1,4,1,27000,1510000000,1351,600,151001,0,48189,1.4299,1.0917,5,0,5,2,123728,178000,0,0,0,0,0,12957,12957,0,13007,0,6948,6948,0,5967,21360,0,0,0
20241203,151,2,48,4805304,FALSE,189,66,Married,1,1,3,0,27000,1510000000,1920,10413,151001,0,48189,1.4299,1.0917,5,0,5,2,123728,178000,0,0,0,0,0,12957,12957,0,13007,0,6948,6948,0,5967,21360,0,0,0
20241203,151,3,48,4805304,FALSE,166,38,Never married,1,2,3,1,25000,1510000013,720,417,151001,0,48189,1.4299,1.0917,5,0,5,2,123728,178000,0,0,0,0,0,12957,12957,0,13007,0,6948,6948,0,5967,21360,0,0,0
20241203,151,4,48,4805304,FALSE,140,33,Never married,1,2,3,1,73000,1510000014,600,1150,151001,0,48189,1.4299,1.0917,5,0,5,2,123728,178000,0,0,0,0,0,12957,12957,0,13007,0,6948,6948,0,5967,21360,0,0,0
20241203,151,5,48,4805304,FALSE,140,30,Never married,1,3,3,1,45000,1510000015,3012,2814,151001,0,48189,1.4299,1.0917,5,0,5,2,123728,178000,0,0,0,0,0,12957,12957,0,13007,0,6948,6948,0,5967,21360,0,0,0
20241203,152,1,17,1704306,FALSE,76,39,Widowed,2,4,1,0,118700,1520000000,1,4164,152001,0,26658,0.6994,1.0326,2,1,1,1,99836,122000,0,0,0,0,0,13290,15290,0,0,4710,0,0,0,0,4164,0,0,0
20241203,152,2,17,1704306,FALSE,78,5,Never married,1,0,1,0,118700,1520000000,0,0,152001,0,26658,0.6994,1.0326,2,1,1,1,99836,122000,0,0,0,0,0,13290,15290,0,0,4710,0,0,0,0,4164,0,0,0
20241203,153,1,41,4106724,FALSE,64,29,Married,1,4,4,0,163000,1530000000,2499,225,153001,0,26741,0.6535,1.1085,2,0,2,1,108525,163000,0,0,0,0,0,20381,20381,0,12470,12082,3341,3341,0,4176,6201,0,0,0
20241203,153,2,41,4106724,FALSE,145,30,Married,2,3,1,1,163000,1530000000,5853,1800,153001,0,26741,0.6535,1.1085,2,0,2,1,108525,163000,0,0,0,0,0,20381,20381,0,12470,12082,3341,3341,0,4176,6201,0,0,0
20241203,154,1,6,606707,FALSE,37,69,Married,1,4,1,0,133350,1540000000,2400,425,154001,0,27212,0.6535,1.128,2,0,2,1,119294,141000,0,0,0,0,0,13198,13198,0,0,1425,0,0,0,2500,7083,1979,0,0
